Time ,u_X0,u_X1,u_G3,u_G2,u_G1,Strain_X0,Strain_X1,Strain_G3,Strain_G2,Strain_G1
828000,9.35E-18,9.36E-18,1.03E-16,1.01E-16,1.01E-16,-5.81E-17,-5.79E-17,-1.23E-18,-1.38E-18,-1.25E-18
831600,1.66E-17,1.66E-17,1.82E-16,1.79E-16,1.79E-16,1.03E-16,1.03E-16,2.17E-18,2.43E-18,2.20E-18
835200,1.36E-17,1.36E-17,1.49E-16,1.46E-16,1.47E-16,8.43E-17,8.41E-17,1.78E-18,2.00E-18,1.81E-18
838800,1.06E-17,1.06E-17,1.16E-16,1.14E-16,1.15E-16,6.58E-17,6.56E-17,1.39E-18,1.56E-18,1.41E-18
842400,7.62E-18,7.62E-18,8.36E-17,8.22E-17,8.24E-17,4.73E-17,4.72E-17,9.99E-19,1.12E-18,1.01E-18
846000,4.64E-18,4.64E-18,5.09E-17,5.00E-17,5.02E-17,2.88E-17,2.87E-17,6.08E-19,6.82E-19,6.17E-19
849600,8.23E-18,8.23E-18,9.03E-17,8.88E-17,8.90E-17,-5.11E-17,-5.10E-17,-1.08E-18,-1.21E-18,-1.10E-18
853200,7.75E-19,7.75E-19,8.51E-18,8.36E-18,8.38E-18,-4.80E-18,-4.80E-18,-1.02E-19,-1.14E-19,-1.03E-19
856800,3.87E-18,3.87E-18,4.25E-17,4.17E-17,4.19E-17,-2.40E-17,-2.40E-17,-5.07E-19,-5.69E-19,-5.15E-19
860400,9.99E-18,9.99E-18,1.10E-16,1.08E-16,1.08E-16,6.20E-17,6.19E-17,1.31E-18,1.47E-18,1.33E-18
864000,9.72E-18,9.72E-18,1.07E-16,1.05E-16,1.05E-16,-6.03E-17,-6.02E-17,-1.27E-18,-1.43E-18,-1.29E-18
867600,1.07E-17,1.07E-17,1.18E-16,1.16E-16,1.16E-16,-6.65E-17,-6.63E-17,-1.40E-18,-1.57E-18,-1.43E-18
871200,1.52E-17,1.52E-17,1.67E-16,1.64E-16,1.64E-16,9.44E-17,9.41E-17,1.99E-18,2.24E-18,2.02E-18
874800,1.22E-17,1.22E-17,1.34E-16,1.32E-16,1.32E-16,7.59E-17,7.57E-17,1.60E-18,1.80E-18,1.63E-18
878400,9.24E-18,9.25E-18,1.01E-16,9.97E-17,1.00E-16,5.74E-17,5.72E-17,1.21E-18,1.36E-18,1.23E-18
882000,5.44E-18,5.44E-18,5.97E-17,5.87E-17,5.88E-17,-3.38E-17,-3.37E-17,-7.13E-19,-8.00E-19,-7.24E-19
885600,3.28E-18,3.28E-18,3.60E-17,3.54E-17,3.55E-17,2.04E-17,2.03E-17,4.30E-19,4.83E-19,4.37E-19
889200,8.52E-19,8.51E-19,9.34E-18,9.18E-18,9.21E-18,5.28E-18,5.27E-18,1.12E-19,1.25E-19,1.13E-19
892800,2.28E-18,2.28E-18,2.50E-17,2.46E-17,2.46E-17,-1.41E-17,-1.41E-17,-2.99E-19,-3.35E-19,-3.03E-19
896400,2.60E-18,2.60E-18,2.86E-17,2.81E-17,2.82E-17,1.61E-17,1.61E-17,3.41E-19,3.83E-19,3.46E-19
900000,7.62E-18,7.63E-18,8.37E-17,8.23E-17,8.25E-17,-4.73E-17,-4.72E-17,-1.00E-18,-1.12E-18,-1.02E-18
903600,9.08E-18,9.09E-18,9.97E-17,9.80E-17,9.83E-17,-5.64E-17,-5.62E-17,-1.19E-18,-1.34E-18,-1.21E-18
907200,2.16E-17,2.16E-17,2.37E-16,2.33E-16,2.33E-16,1.34E-16,1.34E-16,2.83E-18,3.17E-18,2.87E-18
910800,1.38E-17,1.39E-17,1.52E-16,1.49E-16,1.50E-16,8.60E-17,8.58E-17,1.82E-18,2.04E-18,1.84E-18
914400,1.09E-17,1.09E-17,1.19E-16,1.17E-16,1.18E-16,6.75E-17,6.73E-17,1.43E-18,1.60E-18,1.45E-18
918000,1.90E-19,1.90E-19,6.42E-19,5.81E-19,5.81E-19,1.48E-18,3.61E-19,6.06E-21,1.30E-20,1.47E-20
921600,3.76E-17,3.76E-17,4.13E-16,4.06E-16,4.07E-16,2.34E-16,2.34E-16,4.92E-18,5.53E-18,5.01E-18
925200,3.71E-18,3.70E-18,4.03E-17,3.94E-17,3.96E-17,-2.40E-17,-2.27E-17,-4.94E-19,-5.44E-19,-4.92E-19
928800,3.26E-17,3.27E-17,3.58E-16,3.52E-16,3.53E-16,2.04E-16,2.02E-16,4.28E-18,4.80E-18,4.35E-18
932400,5.17E-17,5.16E-17,5.66E-16,5.56E-16,5.57E-16,-3.22E-16,-3.18E-16,-6.79E-18,-7.59E-18,-6.86E-18
936000,1.46E-17,1.46E-17,1.60E-16,1.57E-16,1.57E-16,-9.05E-17,-9.00E-17,-1.91E-18,-2.14E-18,-1.94E-18
939600,4.25E-17,4.24E-17,4.65E-16,4.58E-16,4.59E-16,2.66E-16,2.63E-16,5.57E-18,6.23E-18,5.64E-18
943200,3.69E-17,3.70E-17,4.04E-16,3.98E-16,3.99E-16,2.26E-16,2.28E-16,4.84E-18,5.42E-18,4.91E-18
946800,6.01E-17,6.02E-17,6.60E-16,6.49E-16,6.51E-16,3.76E-16,3.76E-16,7.88E-18,8.81E-18,8.04E-18
950400,1.08E-16,1.08E-16,1.18E-15,1.16E-15,1.16E-15,6.69E-16,6.67E-16,1.41E-17,1.58E-17,1.43E-17
954000,9.28E-20,1.32E-19,1.17E-18,1.19E-18,1.11E-18,1.39E-18,1.41E-18,1.35E-20,1.32E-20,1.62E-20
957600,1.13E-17,1.16E-17,1.26E-16,1.24E-16,1.24E-16,-7.00E-17,-7.02E-17,-1.49E-18,-1.69E-18,-1.52E-18
961200,6.98E-18,6.97E-18,7.66E-17,7.53E-17,7.55E-17,4.33E-17,4.31E-17,9.14E-19,1.03E-18,9.28E-19
964800,2.11E-18,2.19E-18,2.31E-17,2.27E-17,2.28E-17,-1.29E-17,-1.26E-17,-2.79E-19,-3.13E-19,-2.85E-19
968400,2.89E-18,2.85E-18,3.15E-17,3.10E-17,3.10E-17,-1.80E-17,-1.85E-17,-3.78E-19,-4.21E-19,-3.86E-19
972000,2.84E-17,2.82E-17,3.11E-16,3.05E-16,3.06E-16,1.75E-16,1.77E-16,3.71E-18,4.16E-18,3.76E-18
975600,1.35E-17,1.35E-17,1.48E-16,1.46E-16,1.46E-16,-8.44E-17,-8.43E-17,-1.77E-18,-1.98E-18,-1.79E-18
979200,2.09E-17,2.12E-17,2.32E-16,2.28E-16,2.28E-16,-1.30E-16,-1.31E-16,-2.77E-18,-3.09E-18,-2.81E-18
982800,2.38E-18,2.35E-18,2.58E-17,2.53E-17,2.53E-17,1.55E-17,1.32E-17,2.93E-19,3.26E-19,2.96E-19
986400,7.49E-17,7.49E-17,8.23E-16,8.09E-16,8.11E-16,-4.59E-16,-4.62E-16,-9.81E-18,-1.10E-17,-9.97E-18
990000,1.39E-17,1.37E-17,1.52E-16,1.49E-16,1.49E-16,-8.72E-17,-8.55E-17,-1.82E-18,-2.04E-18,-1.85E-18
993600,4.03E-17,4.03E-17,4.42E-16,4.35E-16,4.36E-16,-2.51E-16,-2.51E-16,-5.28E-18,-5.93E-18,-5.37E-18
